Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
PENERAPAN JALUR SEPEDA PADA JARINGAN JALAN DI KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/4010033,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 1 (2024)81-92",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 1 (2024)81-92",N/A,N/A
STUDI KEBUTUHAN TERMINAL ANGKUTAN BARANG DI KABUPATEN PROBOLINGGO,https://garuda.kemdikbud.go.id/documents/detail/4010049,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 1 (2024)13-24",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 1 (2024)13-24",N/A,N/A
Efektivitas Penggunaan Teknologi Building Information Modelling (BIM) Dalam Desain Rumah 3 Lantai,https://garuda.kemdikbud.go.id/documents/detail/4266207,Accred : Unknown,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS51-59",2024,DOI: 10.31328/js.v7i1.5682,Author Order : 1 of 7,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS51-59",N/A,N/A
Pendekatan Teknologi Penanganan Longsor Pada Lokasi Tower di PT PLN (Persero) UPT Semarang Jawa Tengah,https://garuda.kemdikbud.go.id/documents/detail/4266211,Accred : Unknown,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS60-66",2024,DOI: 10.31328/js.v7i1.5688,Author Order : 1 of 7,"JURNAL APLIKASI DAN INOVASI IPTEKS ""SOLIDITAS"" (J-SOLID) Vol 7, No 1 (2024): Jurnal Aplikasi Dan Inovasi Ipteks SOLIDITAS60-66",N/A,N/A
ANALISIS KUAT TEKAN PAVING BLOCK UNTUK PERKERASAN JALAN,https://garuda.kemdikbud.go.id/documents/detail/4528977,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)319-328",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)319-328",N/A,N/A
STUDI PERBANDINGAN CURAH HUJAN AKTUAL DAN DATA SATELIT GPM DI BENDUNGAN KUNINGAN,https://garuda.kemdikbud.go.id/documents/detail/4528984,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)329-338",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)329-338",N/A,N/A
APLIKASI TEKNOLOGI APC PADA SEPEDA MOTOR RODA TIGA ANGKUTAN BARANG,https://garuda.kemdikbud.go.id/documents/detail/4528985,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)167-172",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)167-172",N/A,N/A
EVALUASI STRUKTUR DERMAGA KAISON AKIBAT RENCANA PENGEMBANGAN PELABUHAN,https://garuda.kemdikbud.go.id/documents/detail/4528994,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)191-202",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)191-202",N/A,N/A
EVALUASI PROYEK PENINGKATAN JALAN MAYANG-KALISAT-AJUNG KABUPATEN JEMBER MENGGUNAKAN METODE EARNED VALUE,https://garuda.kemdikbud.go.id/documents/detail/4529000,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)251-258",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)251-258",N/A,N/A
EVALUASI KINERJA SIMPANG 4 MERGAN KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/4529001,Accred : Unknown,"Prosidia Widya Saintek Vol 3, No 2 (2024)243-250",2024,DOI: -,Author Order : 1 of 7,"Prosidia Widya Saintek Vol 3, No 2 (2024)243-250",N/A,N/A
STUDI PENGGUNAAN SOFTWARE AUTODESK REVIT DALAM ANALISIS QUANTITY TAKE-OFF GEDUNG 2 LANTAI,https://garuda.kemdikbud.go.id/documents/detail/3711203,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)187-194",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)187-194",N/A,N/A
KAJIAN DISTRIBUSI LOGISTIK PANGAN DALAM MENDUKUNG KETAHANAN PANGAN,https://garuda.kemdikbud.go.id/documents/detail/3338745,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 1 (2023)9-18",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 1 (2023)9-18",N/A,N/A
Analisis Kinerja Parkir di Tepi Jalan Umum Wilayah Kota Malang,https://garuda.kemdikbud.go.id/documents/detail/3380630,Accred : Sinta 3,"TERAS JURNAL Vol 13, No 1 (2023): Volume 13 No 1, Maret 2023139-150",2023,DOI: 10.29103/tj.v13i1.825,Author Order : 2 of 3,"TERAS JURNAL Vol 13, No 1 (2023): Volume 13 No 1, Maret 2023139-150",N/A,N/A
Peningkatan Layanan Infrastruktur Jalan Di Kawasan Wisata Bedengan,https://garuda.kemdikbud.go.id/documents/detail/3522965,Accred : Sinta 5,"ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT Vol 6, No 2 (2023): Mei 2023424-431",2023,DOI: 10.33633/ja.v6i2.1079,Author Order : 2 of 3,"ABDIMASKU : JURNAL PENGABDIAN MASYARAKAT Vol 6, No 2 (2023): Mei 2023424-431",N/A,N/A
STUDI PERENCANAAN PONDASI SUMURAN PADA PROYEK PENGEMBANGAN GEDUNG KAMPUS INSTITUT TEKNOLOGI DAN BISNIS WIDYAGAMA LUMAJANG,https://garuda.kemdikbud.go.id/documents/detail/3711197,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)129-134",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)129-134",N/A,N/A
ANALISIS PERHITUNGAN STRUKTUR BANGUNAN 3 LANTAI MENGGUNAKAN APLIKASI SANSPRO,https://garuda.kemdikbud.go.id/documents/detail/3711199,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)149-158",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)149-158",N/A,N/A
ANALISIS KENYAMANAN PEJALAN KAKI TERHADAP JALUR PEDESTRIAN DI JALAN VETERAN BOJONEGORO,https://garuda.kemdikbud.go.id/documents/detail/3711204,Accred : Unknown,"Prosidia Widya Saintek Vol 2, No 2 (2023)195-202",2023,DOI: -,Author Order : 2 of 3,"Prosidia Widya Saintek Vol 2, No 2 (2023)195-202",N/A,N/A
The Role of Additional Ceramic Waste on Expansive Clay Stability,https://garuda.kemdikbud.go.id/documents/detail/2610096,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE54-61",2022,DOI: 10.31328/jsae.v5i1.3580,Author Order : 2 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 5, No 1 (2022): JSAE54-61",N/A,N/A
Evaluasi Kinerja Simpang Tiga Tak Bersinyal Jl. Muharto - Jl. Mayjen Sungkono â Jl. Raya Ki Ageng Gribig Kota Malang,https://garuda.kemdikbud.go.id/documents/detail/2631276,Accred : Sinta 3,Siklus : Jurnal Teknik Sipil Vol. 8 No. 1 (2022)70-85,2022,DOI: 10.31849/siklus.v8i1.9339,Author Order : 2 of 3,Siklus : Jurnal Teknik Sipil Vol. 8 No. 1 (2022)70-85,N/A,N/A
PENGARUH AGREGAT HALUS PASIR HITAM DAN COKLAT DENGAN ZAT DAMDEX TERHADAP KUAT TEKAN BETON DAN MODULUS,https://garuda.kemdikbud.go.id/documents/detail/3219658,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030391-400,2022,DOI: -,Author Order : 2 of 3,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030391-400,N/A,N/A
TEKNOLOGI TEPAT GUNA UNTUK PENINGKATAN PRODUKTIFITAS PEMBUATAN ALAT PERAGA EDUKATIF,https://garuda.kemdikbud.go.id/documents/detail/3219818,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030733-740,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030733-740,N/A,N/A
ANALISIS PENGARUH ON-STREET PARKING TERHADAP KINERJA LALU LINTAS DI PASAR BLIMBING KOTA MALANG,https://garuda.kemdikbud.go.id/documents/detail/3219854,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030411-420,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030411-420,N/A,N/A
PENGARUH SIKA DAN ABU VULKANIK GUNUNG SEMERU SEBAGAI PENGGANTI SEBAGIAN SEMEN TERHADAP KUAT TEKAN BETON,https://garuda.kemdikbud.go.id/documents/detail/3219889,Accred : Unknown,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030401-410,2022,DOI: -,Author Order : 1 of 6,Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2022 Transisi Global dalam Mencapai SDGs 2030401-410,N/A,N/A
Analysis of Volume Fraction and Fiber Orientation on Tensile Strength and Impact Strength of Cannabis Sativa-Polyester Fiber Composites,https://garuda.kemdikbud.go.id/documents/detail/3272064,Accred : Unknown,Asian Journal Science and Engineering Vol 1 No 1 (2022): Asian Journal Science and Engineering12-22,2022,DOI: 10.51278/ajse.v1i1.395,Author Order : 1 of 6,Asian Journal Science and Engineering Vol 1 No 1 (2022): Asian Journal Science and Engineering12-22,N/A,N/A
Analysis of Volume Fraction and Fiber Orientation on Tensile Strength and Impact Strength of Cannabis Sativa-Polyester Fiber Composites,https://garuda.kemdikbud.go.id/documents/detail/4360771,Accred : Unknown,Asian Journal Science and Engineering Vol. 1 No. 1 (2022): Asian Journal Science and Engineering12-22,2022,DOI: 10.51278/ajse.v1i1.395,Author Order : 1 of 6,Asian Journal Science and Engineering Vol. 1 No. 1 (2022): Asian Journal Science and Engineering12-22,N/A,N/A
Peningkatan Akurasi Penghitungan Jumlah Kendaraan dengan Membangkitkan Urutan Identitas Deteksi Berbasis Yolov4 Deep Neural Networks,https://garuda.kemdikbud.go.id/documents/detail/2233652,Accred : Sinta 2,"TEKNIK Vol. 42, No. 2 (2021): August 2021169-177",2021,DOI: 10.14710/teknik.v42i2.37019,Author Order : 1 of 6,"TEKNIK Vol. 42, No. 2 (2021): August 2021169-177",N/A,N/A
Technical Analysis Of Road Functional Feasibility Traffic Management And Engineering In The Roads Bts. Palimanan City - Bts. Cirebon City,https://garuda.kemdikbud.go.id/documents/detail/2304313,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 1 (2021): JSAE",2021,DOI: 10.31328/jsae.v4i1.3049,Author Order : 1 of 6,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 1 (2021): JSAE",N/A,N/A
ANALISIS PENGARUH VARIASI KADAR AIR TERHADAP SWELLING VOLUMETRIK TANAH LEMPUNG EKSPANSIF (Studi Kasus KM 51 Ruas Jalan Tirtoyudo Kabupaten Malang),https://garuda.kemdikbud.go.id/documents/detail/2459499,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""455-462",2021,DOI: -,Author Order : 1 of 6,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""455-462",N/A,N/A
ANALISIS FAKTOR BEBAN SUMBU KENDARAAN BERAT TRUK PENGANGKUT PASIR DENGAN QUARRY DI LUMAJANG,https://garuda.kemdikbud.go.id/documents/detail/2609655,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""463-472",2021,DOI: -,Author Order : 1 of 6,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""463-472",N/A,N/A
PENGARUH KOMPOSISI CAMPURAN BETON DAN JENIS SEMEN TERHADAP KELECAKAN (CONCRETE WORKABILITY) DAN KUAT TEKAN BETON,https://garuda.kemdikbud.go.id/documents/detail/2459533,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""529-538",2021,DOI: -,Author Order : 1 of 6,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""529-538",N/A,N/A
STUDI EVALUASI GEOMETRIK JALAN NASIONAL PADA RUAS JALAN KEPANJEN-WLINGI,https://garuda.kemdikbud.go.id/documents/detail/2459426,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""539-548",2021,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""539-548",N/A,N/A
IMPLEMENTASI BENTUK KEGIATAN PEMBELAJARAN PENELITIAN DALAM PROGRAM MBKM DI PROGRAM STUDI TEKNIK SIPIL UNIVERSITAS WIDYAGAMA MALANG,https://garuda.kemdikbud.go.id/documents/detail/2609637,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""1039-1046",2021,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2021 ""Kesiapan Indonesia Dalam Menghadapi Krisis Energi Global""1039-1046",N/A,N/A
Landslides Risk Analysis on Pacitan â Ponorogo National Road Section of East Java Province,https://garuda.kemdikbud.go.id/documents/detail/2304306,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 2 (2021): JSAE44-50",2021,DOI: 10.31328/jsae.v4i2.3050,Author Order : 2 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 2 (2021): JSAE44-50",N/A,N/A
Travel Time Behavior Study of Malang-Denpasar Intercity Bus Considering Sailing Time of Ketapang-Gilimanuk,https://garuda.kemdikbud.go.id/documents/detail/2460052,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 2 (2021): JSAE63-68",2021,DOI: 10.31328/jsae.v4i2.3084,Author Order : 2 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 4, No 2 (2021): JSAE63-68",N/A,N/A
PEMBEBANAN JARINGAN JALAN PADA RUAS JALAN NASIONAL DENGAN ADANYA JALAN TOL DAN NON TOL MALANG -SURABAYA,https://garuda.kemdikbud.go.id/documents/detail/2459482,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""937-946",2020,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""937-946",N/A,N/A
STUDI KESEHATAN DAN KESELAMATAN KERJA PEMELIHARAAN JALAN DENGAN METODE HAZARD ANALYSIS,https://garuda.kemdikbud.go.id/documents/detail/2459494,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""603-610",2020,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2020 ""Peranan Strategis Teknologi Dalam Kehidupan di Era New Normal""603-610",N/A,N/A
ANALISIS KERUSAKAN JALAN MENGGUNAKAN METODE PAVEMENT CONDITION INDEX (PCI) DAN SURFACE DISTRESS INDEK (SDI),https://garuda.kemdikbud.go.id/documents/detail/1630682,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 355-362",2019,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 355-362",N/A,N/A
ANALISIS DISAIN PERKERASAN JALAN DENGAN METODE BATAS KAPASITAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/1252228,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 269-274",2019,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2019 ""Inovasi Cerdas dan Teknologi Hijau untuk Industri 4.0""RTR 269-274",N/A,N/A
PENINGKATAN PRODUKSI INDUSTRI KERAJINAN KERAMIK DENGAN BLAYER ELEKTRIK,https://garuda.kemdikbud.go.id/documents/detail/810492,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)295-304",2018,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(PE)295-304",N/A,N/A
ANALISIS PERBANDINGAN NILAI CESA KENDARAAN BERAT ANTARA MUATAN KOSONG DENGAN MUATAN STANDAR,https://garuda.kemdikbud.go.id/documents/detail/810512,Accred : Unknown,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)530-537",2018,DOI: -,Author Order : 2 of 3,"Conference on Innovation and Application of Science and Technology (CIASTECH) CIASTECH 2018 ""Inovasi IPTEKS untuk mendukung Pembangunan Berkelanjutan""(RT)530-537",N/A,N/A
Analysis of Road Surface Defects Using Road Condition Index Method on the Caruban-Ngawi Road Segment,https://garuda.kemdikbud.go.id/documents/detail/933286,Accred : Sinta 4,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 1, No 2 (2018): JSAE",2018,DOI: 10.31328/jsae.v1i2.887,Author Order : 1 of 3,"JOURNAL OF SCIENCE AND APPLIED ENGINEERING Vol 1, No 2 (2018): JSAE",N/A,N/A
ANALISIS PEMBEBANAN JARINGAN JALAN (TRIP ASSIGNMENT) PADA KORIDOR MALANG-SURABAYA,https://garuda.kemdikbud.go.id/documents/detail/281891,Accred : Unknown,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",2013,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",N/A,N/A
PENGGUNAAN ASBUTON LAWELE DENGAN BAHAN ADDITIF OLI BEKAS KENDARAAN UNTUK MENINGKATKAN STABILITAS BETON ASPAL,https://garuda.kemdikbud.go.id/documents/detail/281892,Accred : Unknown,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",2013,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 21, No 2 (2013): JURNAL WIDYATEKNIKA",N/A,N/A
ANALISIS SELA KRITIS (CRITICAL GAP) ARUS LALU LINTAS PADA SIMPANG TAK BERSINYAL,https://garuda.kemdikbud.go.id/documents/detail/114513,Accred : Unknown,"WIDYA TEKNIKA Vol 19, No 1: MARET 2011",2011,DOI: -,Author Order : 1 of 3,"WIDYA TEKNIKA Vol 19, No 1: MARET 2011",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/166039,Accred : Unknown,"Jurnal Transportasi Vol 10, No 1 (2010)",2010,DOI: -,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 1 (2010)",N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/166107,Accred : Unknown,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: -,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 2 (2010)",N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/550611,Accred : Unknown,"Jurnal Transportasi Vol 10, No 2 (2010)",2010,DOI: 10.26593/jt.v10i2.388.%p,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 2 (2010)",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/551507,Accred : Unknown,"Jurnal Transportasi Vol 10, No 1 (2010)",2010,DOI: 10.26593/jt.v10i1.377.%p,Author Order : 1 of 3,"Jurnal Transportasi Vol 10, No 1 (2010)",N/A,N/A
MODEL KECELAKAAN SEPEDA MOTOR PADA SUATU RUAS JALAN,https://garuda.kemdikbud.go.id/documents/detail/1156001,Accred : Unknown,Jurnal Transportasi Vol. 10 No. 1 (2010),2010,DOI: 10.26593/jtrans.v10i1.377.%p,Author Order : 1 of 3,Jurnal Transportasi Vol. 10 No. 1 (2010),N/A,N/A
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/1155637,Accred : Unknown,Jurnal Transportasi Vol. 10 No. 2 (2010),2010,DOI: 10.26593/jtrans.v10i2.388.%p,Author Order : 1 of 3,Jurnal Transportasi Vol. 10 No. 2 (2010),N/A,N/A
